name,winner,primarytitle
Geraldine Page,False,Sweet Bird of Youth
Lee Remick,False,Days of Wine and Roses
Albert Finney,False,Tom Jones
Richard Harris,False,This Sporting Life
Rex Harrison,False,Cleopatra
Paul Newman,False,Hud
Sidney Poitier,True,Lilies of the Field
Leslie Caron,False,The L-Shaped Room
Shirley MacLaine,False,Irma La Douce
Patricia Neal,True,Hud
Rachel Roberts,False,This Sporting Life
Natalie Wood,False,Love with the Proper Stranger
Richard Burton,False,Becket
Rex Harrison,True,My Fair Lady
Peter O'Toole,False,Becket
Anthony Quinn,False,Zorba the Greek
Peter Sellers,False,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Julie Andrews,True,Mary Poppins
Anne Bancroft,False,The Pumpkin Eater
Sophia Loren,False,Marriage Italian Style
Debbie Reynolds,False,The Unsinkable Molly Brown
Kim Stanley,False,Seance on a Wet Afternoon
Richard Burton,False,The Spy Who Came In from the Cold
Lee Marvin,True,Cat Ballou
Laurence Olivier,False,Othello
Rod Steiger,False,The Pawnbroker
Oskar Werner,False,Ship of Fools
Julie Andrews,False,The Sound of Music
Julie Christie,True,Darling
Samantha Eggar,False,The Collector
Elizabeth Hartman,False,A Patch of Blue
Simone Signoret,False,Ship of Fools
Alan Arkin,False,The Russians Are Coming The Russians Are Coming
Richard Burton,False,Who's Afraid of Virginia Woolf?
Michael Caine,False,Alfie
Steve McQueen,False,The Sand Pebbles
Paul Scofield,True,A Man for All Seasons
Anouk Aimee,False,A Man and a Woman
Ida Kaminska,False,The Shop on Main Street
Lynn Redgrave,False,Georgy Girl
Vanessa Redgrave,False,Morgan!
Elizabeth Taylor,True,Who's Afraid of Virginia Woolf?
Warren Beatty,False,Bonnie and Clyde
Dustin Hoffman,False,The Graduate
Paul Newman,False,Cool Hand Luke
Rod Steiger,True,In the Heat of the Night
Spencer Tracy,False,Guess Who's Coming to Dinner
Anne Bancroft,False,The Graduate
Faye Dunaway,False,Bonnie and Clyde
Dame Edith Evans,False,The Whisperers
Audrey Hepburn,False,Wait until Dark
Katharine Hepburn,True,Guess Who's Coming to Dinner
Alan Arkin,False,The Heart Is a Lonely Hunter
Alan Bates,False,The Fixer
Ron Moody,False,Oliver!
Peter O'Toole,False,The Lion in Winter
Cliff Robertson,True,Charly
Katharine Hepburn,True,The Lion in Winter
Patricia Neal,False,The Subject Was Roses
Vanessa Redgrave,False,Isadora
Barbra Streisand,True,Funny Girl
Joanne Woodward,False,"Rachel, Rachel"
Richard Burton,False,Anne of the Thousand Days
Dustin Hoffman,False,Midnight Cowboy
Peter O'Toole,False,"Goodbye, Mr. Chips"
Jon Voight,False,Midnight Cowboy
