nquest,ar,af,w,bollette,cn,cd,c,ncomp,acom5,pesofit,y,cly,nfigli,figli_etamedia,nfigli_maschi,singleparent,singlemom,madre_lavora,padre_lavora,padre_eta,madre_eta,macroarea,madre_laurea,padre_laurea,padre_servizi,padre_industria,madre_servizi,madre_industria
913460,100,200,300,2000,10560,0,10560,1,2,4.3568802,13000.733,2,0,,0,1,0,,1,36,,nord,,0,0,1,,
913472,250000,672.8172,175772.81,,19150,0,19150,3,1,1.7548856,31012.039,7,1,26,0,0,,0,0,61,60,nord,0,0,,,,
913474,120000,14741.827,134741.83,2100,12000,0,12000,3,1,1.710181,28754.033,6,1,27,1,0,,0,0,58,60,nord,0,0,,,,
913481,110000,7089.4009,117089.4,2900,26700,0,26700,3,1,2.8666155,44025.984,9,1,12,1,0,,1,1,48,42,nord,0,0,1,0,1,0
913486,0,406.59198,406.59198,,12940,0,12940,3,1,2.279397,18201.49,4,1,18,0,0,,0,1,47,45,nord,0,0,1,0,,
913487,100000,470.13266,11470.133,2000,13200,0,13200,2,1,1.9127278,17423.646,3,1,24,1,1,0,,0,64,,nord,,0,,,,
913502,0,30797.613,30797.613,,19900,0,19900,1,1,2.3402698,23712.883,5,0,,0,1,0,,1,49,,nord,,0,1,0,,
913505,0,4953.7202,4953.7202,2500,9000,0,9000,1,1,1.3504486,15618.157,3,0,,0,1,1,1,,,56,nord,0,,,,1,0
913537,1000,3000,4000,4000,38400,0,38400,2,2,3.5961568,33810.996,7,0,,0,0,,1,1,50,51,nord,0,0,1,0,1,0
913538,180000,65000,245000,,31600,0,31600,4,2,4.1195207,48038.242,9,2,18.5,1,0,,0,1,59,47,nord,0,0,1,0,,
913548,0,0,0,,8400,0,8400,1,2,2.6718738,8700,1,0,,0,1,1,1,,,55,nord,0,,,,1,0
913573,450200,45769.398,495969.41,,35900,400,36300,3,4,.39149609,54067.758,9,1,21,1,0,,0,1,57,55,nord,1,0,1,0,,
913576,1000,0,1000,1200,20400,450,20850,2,4,.67778468,27000,6,0,,0,0,,1,1,44,36,nord,0,0,1,0,1,0
913577,2000,12408.064,14408.064,,26100,800,26900,1,4,.53573656,40045.48,8,0,,0,1,0,,1,45,,nord,,1,1,0,,
913580,1000,6116.8877,7116.8877,,21200,800,22000,2,4,.29795775,33022.422,7,0,,0,0,,1,1,55,57,nord,0,0,1,0,1,0
913582,1000,6375.6748,-2124.3252,,12600,9650,22250,2,4,.63427043,13023.368,2,1,22,0,1,1,1,,,45,nord,0,,,,0,1
913588,52500,17115.121,61615.121,,23900,3000,26900,1,4,.57692575,30061.248,7,0,,0,1,1,1,,,41,nord,1,,,,1,0
